;Button1_Value;Button1_Value;Button1_Value;Button2_Value;Button2_Value;Button2_Value;Button3_Value;Button3_Value;Button3_Value;Button4_Value;Button4_Value;Button4_Value;Button5_Value;Button5_Value;Button5_Value;Button6_Value;Button6_Value;Button6_Value;Button7_Value;Button7_Value;Button7_Value;Button8_Value;Button8_Value;Button8_Value;Button9_Value;Button9_Value;Button9_Value;Button10_Value;Button10_Value;Button10_Value;Button11_Value;Button11_Value;Button11_Value;Button12_Value;Button12_Value;Button12_Value;Button13_Value;Button13_Value;Button13_Value
;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size;mean;std;size
familia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4 way;0.0;0.0;25;51.48;11.372921055442763;25;0.0;0.0;25;0.0;0.0;25;0.0;0.0;25;0.0;0.0;25;0.0;0.0;25;22.88;9.10274683818022;25;0.0;0.0;25;0.0;0.0;25;53.6;6.849574196011507;25;0.0;0.0;25;19.52;16.573372217707135;25
Base;0.0;0.0;52;65.84615384615384;20.696106117974356;52;27.26923076923077;7.012916331677797;52;79.01923076923077;20.42536906294391;52;94.76923076923077;19.344772192026134;52;0.9038461538461539;2.898678640039322;52;0.0;0.0;52;58.21153846153846;20.611567795742555;52;0.0;0.0;52;0.0;0.0;52;53.23076923076923;14.826599552784945;52;0.0;0.0;52;105.86538461538461;63.96691204915298;52
Base- P;0.0;0.0;83;52.36144578313253;29.83351295850349;83;18.89156626506024;5.000029385749675;83;64.46987951807229;24.94400428931384;83;117.97590361445783;15.132726531702055;83;0.0;0.0;83;0.0;0.0;83;34.98795180722892;8.494609446948441;83;0.0;0.0;83;0.0;0.0;83;52.2289156626506;9.21071129003674;83;0.0;0.0;83;80.10843373493977;63.312429336525284;83
HCS;24.649122807017545;7.627890460902701;228;67.05701754385964;24.880530290601556;228;26.526315789473685;9.089579187339833;228;83.17105263157895;25.152252589794614;228;94.15789473684211;19.178539285269466;228;17.06140350877193;4.640911895276974;228;27.80701754385965;16.408269749608046;228;53.42982456140351;15.260711872037051;228;0.0;0.0;228;0.0;0.0;228;57.93421052631579;18.15984013275209;228;46.6140350877193;36.1603157689445;228;123.18859649122807;70.19334187682237;228
Ricco;23.612403100775193;7.389086206104264;129;68.20930232558139;26.97269290950938;129;25.41860465116279;8.365384101330358;129;78.48062015503876;31.02723117863409;129;95.30232558139535;18.288317929061126;129;16.410852713178294;4.214210341030644;129;0.0;0.0;129;52.44961240310077;14.157021910693114;129;0.0;0.0;129;0.0;0.0;129;58.10077519379845;14.737200464110531;129;0.0;0.0;129;110.87596899224806;73.24168124179042;129
Ricco- P;0.0;0.0;23;58.26086956521739;32.57050728287835;23;22.434782608695652;8.250763529166814;23;65.04347826086956;20.682619538833617;23;119.91304347826087;16.99441898623904;23;19.52173913043478;14.44069239468609;23;0.0;0.0;23;35.869565217391305;7.653307946871357;23;0.0;0.0;23;0.0;0.0;23;49.91304347826087;7.446250084183685;23;0.0;0.0;23;82.91304347826087;53.98140508417375;23
Ricco- P -G;0.0;0.0;40;67.8;35.565180321236255;40;19.2;5.693901370810072;40;62.375;30.819314207248812;40;112.325;26.534339144703676;40;13.6;3.808223221210135;40;0.0;0.0;40;0.0;0.0;40;69.9;21.02111270811275;40;45.65;13.905449955378591;40;50.4;13.478948448675487;40;0.0;0.0;40;51.775;33.307031289704184;40
